name,supply1,supply2,supply3,supply4,time,info
練習航海,0,30,0,0,15,鎮守府海域
長距離練習航海,0,100,30,0,30,鎮守府海域
警備任務,30,30,40,0,20,鎮守府海域
対潜警戒任務,0,60,0,0,50,鎮守府海域
海上護衛任務,200,200,20,20,90,鎮守府海域
防空射撃演習,0,0,0,80,40,鎮守府海域
観艦式予行,0,0,50,30,60,鎮守府海域
観艦式,50,100,50,50,180,鎮守府海域
タンカー護衛任務,350,0,0,0,240,南西諸島海域
強行偵察任務,0,50,0,30,90,南西諸島海域
ボーキサイト輸送任務,0,0,0,250,300,南西諸島海域
資源輸送任務,50,250,200,50,480,南西諸島海域
鼠輸送作戦,240,300,0,0,240,南西諸島海域
包囲陸戦隊撤収作戦,0,240,200,0,360,南西諸島海域
囮機動部隊支援作戦,0,0,300,400,720,南西諸島海域
艦隊決戦援護作戦,500,500,200,200,900,南西諸島海域
敵地偵察作戦,70,70,50,0,45,北方海域
航空機輸送作戦,0,0,300,100,300,北方海域
北号作戦,400,0,50,30,360,北方海域
潜水艦哨戒任務,0,0,150,0,120,北方海域
北方鼠輸送作戦,320,270,0,0,140,北方海域
艦隊演習,0,10,0,0,180,北方海域
航空戦艦運用演習,0,20,0,100,240,北方海域
北方航路海上護衛,500,0,0,150,500,北方海域
通商破壊作戦,900,0,500,0,2400,西方海域
敵母港空襲作戦,0,0,0,900,4800,西方海域
潜水艦通商破壊作戦,0,0,800,0,1200,西方海域
西方海域封鎖作戦,0,0,900,350,1500,西方海域
潜水艦派遣演習,0,0,0,100,1440,西方海域
潜水艦派遣作戦,0,0,0,100,2880,西方海域
海外艦との接触,0,30,0,0,120,西方海域
遠洋練習航海,50,50,50,50,1440,西方海域
MO作戦,0,0,240,280,420,南方海域
水上機基地建設,480,0,200,200,540,南方海域
東京急行,0,380,270,0,165,南方海域
東京急行（弐）,420,0,200,0,175,南方海域
遠洋潜水艦作戦,0,0,300,0,1800,南方海域
水上機前線輸送,300,300,0,100,410,南方海域
